year,crude_oil,bbm_ina
2015-07-01,47.12,8400
2015-08-03,49.2,8400
2015-09-01,45.09,8400
2015-10-01,46.59,8400
2015-11-02,41.65,8400
2015-12-01,37.04,8400
2016-01-01,33.62,7950
2016-02-01,33.75,7600
2016-03-01,38.34,7300
2016-04-01,45.92,7100
2016-05-02,49.1,6900
2016-06-01,48.33,6900
2016-07-01,41.6,6900
2016-08-01,44.7,6900
2016-09-01,48.24,6900
2016-10-03,46.86,6900
2016-11-01,49.44,6900
2016-12-01,53.72,7050
2017-01-02,52.81,7350
2017-02-01,54.01,7350
2017-03-01,50.6,7200
2017-04-02,49.21,7500
2017-05-01,48.32,7500
2017-06-01,46.04,7500
2017-07-03,50.17,7500
2017-08-01,47.23,7500
2017-09-01,51.67,7500
2017-10-01,54.38,7500
2017-11-01,57.4,7500
2017-12-01,60.42,7500
2018-01-01,64.73,7800
2018-02-01,61.64,7800
2018-03-01,64.94,7800
2018-04-01,68.57,7800
2018-05-01,67.04,7800
2018-06-01,74.15,7800
2018-07-01,68.76,7800
2018-08-01,69.9977,7800
2018-09-01,73.5992,7800
2018-10-01,65.31,7800
2018-11-01,50.93,7800
2018-12-01,45.41,7800
2019-01-02,53.79,7850
2019-02-01,57.22,7650
2019-03-01,60.14,7650
2019-04-01,63.91,7650
2019-05-01,53.5,7650
2019-06-02,59.4601,7650
2019-07-01,58.58,7650
2019-08-01,55.1,7650
2019-09-01,54.07,7650
2019-10-01,54.18,7650
2019-11-01,55.4872,7650
2019-12-01,60.7556,7650
2020-01-01,51.56,7650
2020-02-03,44.76,7650
2020-03-02,20.48,7650
2020-04-01,18.84,7650
2020-05-01,35.49,7650
2020-06-01,39.27,7650
2020-07-01,40.27,7650
2020-08-03,42.61,7650
2020-09-01,40.22,7650
2020-10-01,35.79,7650
2020-11-02,45.34,7650
2020-12-01,48.52,7650
2021-01-04,52.2,7650
2021-02-01,61.5,7650
2021-03-01,59.16,7650
2021-04-01,63.58,7650
2021-05-03,66.93,7650
2021-06-01,73.47,7650
2021-07-01,73.95,7650
2021-08-02,68.5,7650
2021-09-01,75.03,7650
2021-10-01,81.78,7650
2021-11-01,65.85,7650
2021-12-01,74.88,7650
2022-01-03,86.49,7650
2022-02-01,93.5,7650
2022-03-01,98.52,7650
2022-04-01,102.94,7650
2022-05-02,111.91,7650
2022-06-01,103.1,7650
2022-07-01,96.75,7650
2022-08-01,89.03,7650
2022-09-01,81.3557,10000
2022-10-01,93.33,10000
2022-11-01,89.73,10000
2022-12-01,75.19,10000
