year,crude_oil,bbm_ina
2015-07-01,47,8400
2015-08-03,49,8400
2015-09-01,45,8400
2015-10-01,47,8400
2015-11-02,42,8400
2015-12-01,37,8400
2016-01-01,34,7950
2016-02-01,34,7600
2016-03-01,38,7300
2016-04-01,46,7100
2016-05-02,49,6900
2016-06-01,48,6900
2016-07-01,42,6900
2016-08-01,45,6900
2016-09-01,48,6900
2016-10-03,47,6900
2016-11-01,49,6900
2016-12-01,54,7050
2017-01-02,53,7350
2017-02-01,54,7350
2017-03-01,51,7200
2017-04-02,49,7500
2017-05-01,48,7500
2017-06-01,46,7500
2017-07-03,50,7500
2017-08-01,47,7500
2017-09-01,52,7500
2017-10-01,54,7500
2017-11-01,57,7500
2017-12-01,60,7500
2018-01-01,65,7800
2018-02-01,62,7800
2018-03-01,65,7800
2018-04-01,69,7800
2018-05-01,67,7800
2018-06-01,74,7800
2018-07-01,69,7800
2018-08-01,70,7800
2018-09-01,74,7800
2018-10-01,65,7800
2018-11-01,51,7800
2018-12-01,45,7800
2019-01-02,54,7850
2019-02-01,57,7650
2019-03-01,60,7650
2019-04-01,64,7650
2019-05-01,54,7650
2019-06-02,59,7650
2019-07-01,59,7650
2019-08-01,55,7650
2019-09-01,54,7650
2019-10-01,54,7650
2019-11-01,55,7650
2019-12-01,61,7650
2020-01-01,52,7650
2020-02-03,45,7650
2020-03-02,20,7650
2020-04-01,19,7650
2020-05-01,35,7650
2020-06-01,39,7650
2020-07-01,40,7650
2020-08-03,43,7650
2020-09-01,40,7650
2020-10-01,36,7650
2020-11-02,45,7650
2020-12-01,49,7650
2021-01-04,52,7650
2021-02-01,62,7650
2021-03-01,59,7650
2021-04-01,64,7650
2021-05-03,67,7650
2021-06-01,73,7650
2021-07-01,74,7650
2021-08-02,69,7650
2021-09-01,75,7650
2021-10-01,82,7650
2021-11-01,66,7650
2021-12-01,75,7650
2022-01-03,86,7650
2022-02-01,94,7650
2022-03-01,99,7650
2022-04-01,103,7650
2022-05-02,112,7650
2022-06-01,103,7650
2022-07-01,97,7650
2022-08-01,89,7650
2022-09-01,81,10000
2022-10-01,93,10000
2022-11-01,90,10000
2022-12-01,75,10000
